AVERAGED ALTITUDE UPTO THAT INSTANT,Pressure (milliBar),Temp Celcius
-18.3018,1009.6455,31
-18.3521,1009.6978,31
-18.3935,1009.692,31
-18.355,1009.6397,31
-18.3228,1009.6434,31
-18.3279,1009.6679,31
-18.4517,1009.7472,31
-18.5296,1009.7165,31
-18.5589,1009.6845,31
-18.6363,1009.7165,31
-18.6832,1009.6963,31
-18.6838,1009.6658,31
-18.6939,1009.6716,31
-18.6522,1009.6374,31
-18.695,1009.694,31
-18.6937,1009.6641,31
-18.7251,1009.6866,31
-18.7154,1009.6584,31
-18.7867,1009.7136,31
-18.8289,1009.694,31
-18.8329,1009.6679,31
-18.8444,1009.6733,31
-18.8082,1009.6411,31
-18.839,1009.6866,31
-18.8393,1009.6658,31
-18.8295,1009.6584,31
-18.806,1009.6492,31
-18.8183,1009.6738,31
-18.7807,1009.6397,31
-18.7967,1009.6762,31
-18.7055,1009.6023,31
-18.6465,1009.6247,31
-18.6289,1009.653,31
-18.6169,1009.6566,31
-18.6565,1009.6926,31
-18.677,1009.6791,31
-18.6316,1009.6337,31
-18.5819,1009.6304,31
-18.5889,1009.6701,31
-18.6067,1009.6776,31
-18.5868,1009.6508,31
-18.559,1009.6455,31
-18.5312,1009.6455,31
-18.5062,1009.6471,31
-18.4839,1009.6492,31
-18.4537,1009.6434,31
-18.4813,1009.6845,31
-18.5043,1009.6814,31
-18.5812,1009.7202,31
-18.5669,1009.6546,31
-18.5369,1009.6434,31
-18.5825,1009.6978,31
-18.6342,1009.7023,31
-18.6453,1009.6733,31
-18.646,1009.6658,31
-18.678,1009.6883,31
-18.6891,1009.6733,31
-18.7958,1009.7427,31
-18.7832,1009.656,31
-18.8278,1009.6978,31
-18.8256,1009.6636,31
-18.8466,1009.6808,31
-18.8323,1009.6546,31
-18.8481,1009.677,31
-18.8045,1009.6337,31
-18.8529,1009.7009,31
-18.861,1009.671,31
-18.9255,1009.7127,31
-18.953,1009.686,31
-19.0402,1009.7299,31
-18.9967,1009.6337,31
-19.0274,1009.6883,31
-19.0503,1009.6828,31
-19.0273,1009.6486,31
-19.0875,1009.7106,31
-19.133,1009.6995,31
-19.1835,1009.7032,31
-19.1858,1009.6673,31
-19.1906,1009.6696,31
-19.2206,1009.6883,31
-19.1796,1009.6353,31
-19.1693,1009.6576,31
-19.1465,1009.6486,31
-19.1337,1009.656,31
-19.1386,1009.6696,31
-19.1484,1009.6733,31
-19.1474,1009.6651,31
-19.1944,1009.7015,31
-19.258,1009.7144,31
-19.2741,1009.6785,31
-19.2952,1009.6822,31
-19.2973,1009.6673,31
-19.3578,1009.7121,31
-19.34,1009.6524,31
-19.2804,1009.6203,31
-19.289,1009.6727,31
-19.2657,1009.6479,31
-19.189,1009.6068,31
-19.1585,1009.6427,31
-19.151,1009.6599,31
-19.1476,1009.6629,31
-19.1145,1009.6405,31
-19.1451,1009.6897,31
-19.128,1009.6524,31
-19.1561,1009.6876,31
-19.1478,1009.6591,31
-19.0647,1009.6009,31
-19.0686,1009.6689,31
-19.0589,1009.6576,31
-19.0829,1009.6845,31
-19.0032,1009.603,31
-18.9284,1009.6068,31
-18.8971,1009.6411,31
-18.8749,1009.6479,31
-18.8179,1009.6203,31
-18.7701,1009.6278,31
-18.6983,1009.6083,31
-18.6932,1009.6614,31
-18.6842,1009.6576,31
-18.6579,1009.6442,31
-18.66,1009.6666,31
-18.5944,1009.6128,31
-18.5659,1009.6427,31
-18.6137,1009.7032,31
-18.6614,1009.7032,31
-18.6384,1009.6465,31
-18.6155,1009.6465,31
-18.5865,1009.642,31
-18.5895,1009.6673,31
-18.5636,1009.6442,31
-18.5387,1009.6449,31
-18.5037,1009.6367,31
-18.4595,1009.6292,31
-18.4596,1009.6651,31
-18.455,1009.6614,31
-18.4751,1009.6816,31
-18.5136,1009.6965,31
-18.5052,1009.6576,31
-18.5282,1009.6838,31
-18.5466,1009.6801,31
-18.5212,1009.6442,31
-18.5143,1009.6591,31
-18.5639,1009.7063,31
-18.5676,1009.6682,31
-18.6041,1009.695,31
-18.5955,1009.6576,31
-18.5817,1009.6533,31
-18.5952,1009.6763,31
-18.6102,1009.6778,31
-18.6297,1009.6816,31
-18.7262,1009.7457,31
-18.7455,1009.6816,31
-18.794,1009.7063,31
-18.8086,1009.6778,31
-18.8795,1009.7249,31
-18.8692,1009.6569,31
-18.9001,1009.6912,31
-18.922,1009.6838,31
-18.905,1009.6511,31
-18.8887,1009.6517,31
-18.8904,1009.6666,31
-18.9181,1009.689,31
-18.962,1009.7025,31
-18.9436,1009.6495,31
-18.8982,1009.6271,31
-18.8093,1009.5897,31
-18.7642,1009.6271,31
-18.7469,1009.6502,31
-18.6976,1009.6233,31
-18.6466,1009.6217,31
-18.631,1009.6517,31
-18.5795,1009.6212,31
-18.5505,1009.6405,31
-18.5782,1009.689,31
-18.5295,1009.6233,31
-18.4682,1009.6121,31
-18.5032,1009.695,31
-18.4592,1009.6271,31
-18.4066,1009.6196,31
-18.3959,1009.6554,31
-18.4069,1009.6741,31
-18.446,1009.6988,31
-18.4331,1009.6533,31
-18.4563,1009.6853,31
-18.3959,1009.6121,31
-18.3245,1009.6025,31
-18.2873,1009.6324,31
-18.2812,1009.6591,31
-18.2571,1009.6436,31
-18.276,1009.6816,31
-18.2928,1009.6795,31
-18.2716,1009.6458,31
-18.3054,1009.6943,31
-18.2929,1009.6533,31
-18.2644,1009.6398,31
-18.2874,1009.6853,31
-18.2572,1009.6383,31
-18.2165,1009.6287,31
-18.2374,1009.6831,31
-18.2391,1009.666,31
-18.1778,1009.6099,31
-18.1374,1009.6287,31
-18.1597,1009.6847,31
-18.1489,1009.6549,31
-18.1402,1009.6569,31
-18.1666,1009.6885,31
-18.1157,1009.6188,31
-18.0862,1009.6383,31
-18.1132,1009.689,31
-18.1109,1009.6623,31
-18.1503,1009.7003,31
-18.1564,1009.6697,31
-18.1665,1009.6735,31
-18.1517,1009.6511,31
-18.1598,1009.6719,31
-18.1533,1009.6586,31
-18.2145,1009.7205,31
-18.2892,1009.7333,31
-18.2702,1009.6473,31
-18.3166,1009.7072,31
-18.3525,1009.6981,31
-18.4288,1009.7354,31
-18.4261,1009.6623,31
-18.4194,1009.6586,31
-18.4222,1009.6674,31
-18.4721,1009.7108,31
-18.4707,1009.6636,31
-18.4653,1009.6599,31
-18.464,1009.6636,31
-18.4932,1009.6921,31
-18.5522,1009.7197,31
-18.5934,1009.7034,31
-18.5838,1009.6561,31
-18.6005,1009.681,31
-18.6375,1009.6997,31
-18.6077,1009.6375,31
-18.5968,1009.6549,31
-18.5933,1009.6616,31
-18.5985,1009.6697,31
-18.6446,1009.7084,31
-18.6725,1009.6915,31
-18.6656,1009.6586,31
-18.6501,1009.6503,31
-18.6819,1009.6953,31
-18.6843,1009.6674,31
-18.6329,1009.6167,31
-18.6586,1009.6898,31
-18.6431,1009.6503,31
-18.6416,1009.6636,31
-18.5687,1009.5958,31
-18.5541,1009.6511,31
-18.5157,1009.6287,31
-18.5005,1009.6503,31
-18.4555,1009.6219,31
-18.4243,1009.6354,31
-18.4231,1009.6636,31
-18.3687,1009.613,31
-18.3342,1009.6317,31
-18.2935,1009.6257,31
-18.3029,1009.6735,31
-18.2927,1009.6549,31
-18.2877,1009.6599,31
-18.2867,1009.6636,31
-18.2941,1009.6719,31
-18.2538,1009.6257,31
-18.2832,1009.6936,31
-18.3327,1009.7131,31
-18.3155,1009.6481,31
-18.3144,1009.6636,31
-18.3114,1009.6616,31
-18.3297,1009.6823,31
-18.2957,1009.6317,31
-18.2966,1009.6654,31
